pressure_ratio,chord,z_xx,z_xy,z_yy,z_zz
0.7125,width,0.0,0.0,0.0,0.0
0.7125,height,0.0,0.0,0.0,0.0
0.7,width,4.0276021174684716e-08,7.158428077896987e-07,3.3977474930462407e-07,-1.9071473557114787e-07
0.7,height,2.8738873703550972e-08,6.635457037168165e-07,3.275017977943773e-07,-1.6971258160234508e-07
0.69375,width,1.0949537028094487e-07,1.1990330946235203e-06,5.22665385081818e-07,-3.198197276119185e-07
0.69375,height,7.880158218620762e-08,1.0922844296687186e-06,5.060858750272679e-07,-2.8097036647923474e-07
0.6875,width,1.298025137346178e-07,1.8801656167513415e-06,8.684893759262788e-07,-5.020328750382881e-07
0.6875,height,9.263457158403163e-08,1.7279018501928077e-06,8.496171678327526e-07,-4.4887942285440203e-07
