pressure_ratio,chord,z_xx,z_xy,z_yy,z_zz
0.7125,width,0.0,0.0,0.0,0.0
0.7125,height,0.0,0.0,0.0,0.0
0.7,width,4.0484564397624425e-08,7.27059758050341e-07,3.4546005057079633e-07,-1.9360809580991704e-07
0.7,height,2.9282201045198715e-08,6.668635088812894e-07,3.3734969405546e-07,-1.7574085273574844e-07
0.690625,width,8.473291905199289e-08,1.504665500370871e-06,7.41570983964481e-07,-4.060057525017349e-07
0.690625,height,5.979515380421359e-08,1.3808623897037457e-06,7.351722605663954e-07,-3.714539734744242e-07
0.6875,width,1.1496922986361691e-07,1.8657612257732137e-06,9.053029905502275e-07,-5.028481609013616e-07
0.6875,height,8.150061402584368e-08,1.707549250435681e-06,8.991359523146893e-07,-4.591474186947411e-07
