pressure_ratio,chord,z_xx,z_xy,z_yy,z_zz
0.7125,width,0.0,0.0,0.0,0.0
0.7125,height,0.0,0.0,0.0,0.0
0.7,width,4.041949598886105e-08,7.288098850872819e-07,3.4541624962468535e-07,-1.934115262139814e-07
0.7,height,2.9537340944394555e-08,6.778285485580022e-07,3.3549840821993375e-07,-1.7409256282320689e-07
0.6875,width,1.3592622226308563e-07,1.899337698853474e-06,8.789525055824113e-07,-5.040949582465777e-07
0.6875,height,9.860255208475073e-08,1.7464434345977913e-06,8.676969528730518e-07,-4.544809873014556e-07
