arc,fraction,x_m,y_m,radial_x,radial_y
crown,0,6.73,0,1,0
crown,0.015625,6.721893420260811,0.3302254482235233,0.9987954562051724,0.049067674327418015
crown,0.03125,6.697593210503886,0.6596553544179429,0.9951847266721969,0.0980171403295606
crown,0.046875,6.657157912062977,0.9874960930845846,0.989176509964781,0.14673047445536175
crown,0.0625,6.6006849371137415,1.3129578671685431,0.9807852804032304,0.19509032201612825
crown,0.078125,6.528310333999281,1.6352566107489659,0.970031253194544,0.24298017990326387
crown,0.09375,6.440208459477766,1.9536158779225317,0.9569403357322088,0.29028467725446233
crown,0.109375,6.3365915586817305,2.267268713329641,0.9415440651830208,0.33688985339222005
crown,0.125,6.21770925380096,2.5754594998170544,0.9238795325112867,0.3826834323650898
crown,0.140625,6.083847942720774,2.8774457787857988,0.9039892931234433,0.4275550934302821
crown,0.15625,5.93533010906443,3.1725000388389644,0.881921264348355,0.47139673682599764
crown,0.171875,5.772513545301832,3.459911468420382,0.8577286100002721,0.5141027441932217
crown,0.1875,5.59579049079613,3.738987668221923,0.8314696123025452,0.5555702330196022
crown,0.203125,5.405586686864741,4.009056319234077,0.8032075314806449,0.5956993044924334
crown,0.21875,5.202360351131221,4.269466802421334,0.773010453362737,0.6343932841636455
crown,0.234375,4.986601073638875,4.519591766120434,0.7409511253549591,0.6715589548470183
crown,0.25,4.758828637385466,4.758828637385465,0.7071067811865476,0.7071067811865475
crown,0.265625,4.519591766120434,4.986601073638875,0.6715589548470183,0.7409511253549591
crown,0.28125,4.269466802421334,5.202360351131221,0.6343932841636455,0.773010453362737
crown,0.296875,4.009056319234078,5.40558668686474,0.5956993044924335,0.8032075314806448
crown,0.3125,3.738987668221924,5.59579049079613,0.5555702330196023,0.8314696123025452
crown,0.328125,3.459911468420382,5.772513545301832,0.5141027441932217,0.8577286100002721
crown,0.34375,3.1725000388389653,5.935330109064429,0.4713967368259978,0.8819212643483549
crown,0.359375,2.877445778785799,6.083847942720774,0.4275550934302822,0.9039892931234433
crown,0.375,2.575459499817055,6.21770925380096,0.38268343236508984,0.9238795325112867
crown,0.390625,2.267268713329641,6.3365915586817305,0.33688985339222005,0.9415440651830208
crown,0.40625,1.9536158779225317,6.440208459477766,0.29028467725446233,0.9569403357322089
crown,0.421875,1.6352566107489668,6.528310333999281,0.24298017990326398,0.970031253194544
crown,0.4375,1.3129578671685438,6.6006849371137415,0.19509032201612833,0.9807852804032304
crown,0.453125,0.9874960930845846,6.657157912062977,0.14673047445536175,0.989176509964781
crown,0.46875,0.659655354417944,6.697593210503885,0.09801714032956077,0.9951847266721968
crown,0.484375,0.330225448223524,6.721893420260811,0.049067674327418126,0.9987954562051724
crown,0.5,4.120936479130844e-16,6.73,6.123233995736766e-17,1
crown,0.515625,-0.33022544822352323,6.721893420260811,-0.04906767432741801,0.9987954562051724
crown,0.53125,-0.6596553544179432,6.697593210503886,-0.09801714032956065,0.9951847266721969
crown,0.546875,-0.9874960930845839,6.657157912062977,-0.14673047445536164,0.989176509964781
crown,0.5625,-1.312957867168543,6.6006849371137415,-0.1950903220161282,0.9807852804032304
crown,0.578125,-1.6352566107489659,6.528310333999281,-0.24298017990326387,0.970031253194544
crown,0.59375,-1.9536158779225306,6.440208459477766,-0.29028467725446216,0.9569403357322089
crown,0.609375,-2.2672687133296403,6.3365915586817305,-0.33688985339221994,0.9415440651830208
crown,0.625,-2.575459499817054,6.21770925380096,-0.3826834323650897,0.9238795325112867
crown,0.640625,-2.877445778785797,6.083847942720775,-0.42755509343028186,0.9039892931234434
crown,0.65625,-3.172500038838965,5.93533010906443,-0.4713967368259977,0.881921264348355
crown,0.671875,-3.459911468420382,5.772513545301832,-0.5141027441932217,0.8577286100002721
crown,0.6875,-3.738987668221921,5.595790490796131,-0.555570233019602,0.8314696123025455
crown,0.703125,-4.009056319234077,5.405586686864741,-0.5956993044924334,0.8032075314806449
crown,0.71875,-4.269466802421333,5.202360351131221,-0.6343932841636454,0.7730104533627371
crown,0.734375,-4.519591766120435,4.986601073638874,-0.6715589548470184,0.740951125354959
crown,0.75,-4.758828637385465,4.758828637385466,-0.7071067811865475,0.7071067811865476
crown,0.765625,-4.986601073638874,4.519591766120435,-0.7409511253549589,0.6715589548470186
crown,0.78125,-5.202360351131221,4.269466802421334,-0.773010453362737,0.6343932841636455
crown,0.796875,-5.40558668686474,4.009056319234078,-0.8032075314806448,0.5956993044924335
crown,0.8125,-5.595790490796131,3.738987668221923,-0.8314696123025453,0.5555702330196022
crown,0.828125,-5.772513545301831,3.459911468420383,-0.857728610000272,0.5141027441932218
crown,0.84375,-5.935330109064429,3.1725000388389657,-0.8819212643483549,0.47139673682599786
crown,0.859375,-6.083847942720774,2.8774457787857983,-0.9039892931234433,0.42755509343028203
crown,0.875,-6.21770925380096,2.5754594998170552,-0.9238795325112867,0.3826834323650899
crown,0.890625,-6.33659155868173,2.267268713329643,-0.9415440651830207,0.33688985339222033
crown,0.90625,-6.440208459477766,1.9536158779225319,-0.9569403357322088,0.2902846772544624
crown,0.921875,-6.528310333999281,1.6352566107489672,-0.970031253194544,0.24298017990326407
crown,0.9375,-6.6006849371137415,1.3129578671685456,-0.9807852804032304,0.1950903220161286
crown,0.953125,-6.657157912062977,0.987496093084585,-0.989176509964781,0.1467304744553618
crown,0.96875,-6.697593210503885,0.6596553544179444,-0.9951847266721968,0.09801714032956083
crown,0.984375,-6.721893420260811,0.33022544822352295,-0.9987954562051724,0.049067674327417966
crown,1,-6.73,8.241872958261688e-16,-1,1.2246467991473532e-16
left_wall,0,-6.73,1.1266750552155648e-15,-1,1.2246467991473532e-16
left_wall,0.015625,-6.729953871252693,-0.029133602980016677,-0.9999949860057274,-0.0031666959760887695
left_wall,0.03125,-6.729815485473349,-0.0582669138086016,-0.99997994407319,-0.006333360196587131
left_wall,0.046875,-6.7295848440497,-0.08739964033723821,-0.9999548743532282,-0.009499960906221546
left_wall,0.0625,-6.729261949294614,-0.11653149042328675,-0.9999197770972406,-0.012666466350357257
left_wall,0.078125,-6.728846804446077,-0.14566217193288009,-0.9998746526571822,-0.015832844775313056
left_wall,0.09375,-6.7283394136671575,-0.17479139274388183,-0.9998195014855605,-0.01899906442868281
left_wall,0.109375,-6.727739782045964,-0.20391886074880347,-0.9997543241354307,-0.022165093559652554
left_wall,0.125,-6.727047915595593,-0.23304428385772127,-0.9996791212603905,-0.025330900419317532
left_wall,0.140625,-6.7262638212540775,-0.2621673700012301,-0.9995938936145736,-0.02849645326100327
left_wall,0.15625,-6.725387506884305,-0.29128782713335966,-0.9994986420526417,-0.03166172034058257
left_wall,0.171875,-6.724418981273944,-0.3204053632344913,-0.9993933675297765,-0.034826669916792535
left_wall,0.1875,-6.723358254135361,-0.3495196863143107,-0.9992780711016696,-0.03799127025155551
left_wall,0.203125,-6.722205336105512,-0.37863050441472346,-0.9991527539245122,-0.04115548961029603
left_wall,0.21875,-6.720960238745851,-0.4077375256127711,-0.9990174172549837,-0.04431929626225773
left_wall,0.234375,-6.719622974542196,-0.4368404580235865,-0.9988720624502386,-0.04748265848082463
left_wall,0.25,-6.718193556904618,-0.4659390098032888,-0.9987166909678933,-0.05064554454383574
left_wall,0.265625,-6.716672000167302,-0.495032889151938,-0.998551304366011,-0.053807922733906305
left_wall,0.28125,-6.715058319588399,-0.5241218043164494,-0.9983759043030869,-0.056969761338744505
