pressure_ratio,chord,z_xx,z_xy,z_yy,z_zz
0.7125,width,0.0,0.0,0.0,0.0
0.7125,height,0.0,0.0,0.0,0.0
0.7,width,1.5382328443644551e-09,3.376507895739872e-08,1.8412146448542184e-08,-9.425898806850168e-09
0.7,height,1.1316436854835551e-09,3.190753192971641e-08,1.7661156528213298e-08,-8.42914420352005e-09
0.6875,width,1.1806307273637742e-07,1.8049354954186911e-06,8.376773347522117e-07,-4.7295072215360655e-07
0.6875,height,8.473449746394258e-08,1.6850330555927593e-06,8.102345467885731e-07,-4.1325442178339475e-07
0.675,width,1.898923858630674e-07,2.7687086344827686e-06,1.3344274158341812e-06,-7.378176369972264e-07
0.675,height,1.34443246090831e-07,2.5708645536605894e-06,1.317374925639438e-06,-6.552633018611035e-07
