pressure_ratio,chord,z_xx,z_xy,z_yy,z_zz
0.7125,width,0.0,0.0,0.0,0.0
0.7125,height,0.0,0.0,0.0,0.0
0.7,width,1.4428367373571874e-09,3.503528598732908e-08,1.9160117088413582e-08,-9.793126406498808e-09
0.7,height,1.0498856872968447e-09,3.305458818033782e-08,1.8306342159841998e-08,-8.757214211939847e-09
0.6875,width,1.1925477653912705e-07,1.7997096793083648e-06,8.320095007285766e-07,-4.697277902006071e-07
0.6875,height,8.558550870568512e-08,1.6509547100795527e-06,8.155476445994148e-07,-4.2065936731997775e-07
0.675,width,1.9331050165267752e-07,2.7720846246144494e-06,1.3327218626397772e-06,-7.376844547105418e-07
0.675,height,1.363658882556942e-07,2.540969987984333e-06,1.3271061913403115e-06,-6.653690540298265e-07
