pressure_ratio,chord,z_xx,z_xy,z_yy,z_zz
0.7125,width,0.0,0.0,0.0,0.0
0.7125,height,0.0,0.0,0.0,0.0
0.7,width,4.04089530378868e-08,7.178906679468392e-07,3.427867113495739e-07,-1.923342402028291e-07
0.7,height,2.907264609639178e-08,6.667511664514502e-07,3.328989544698244e-07,-1.7238302533221384e-07
0.690625,width,8.27536518527713e-08,1.5014484089879574e-06,7.437617278835344e-07,-4.0739073333819067e-07
0.690625,height,5.886063628306374e-08,1.3949132242876379e-06,7.337739162588345e-07,-3.6902611482641236e-07
0.6875,width,1.1355355966468089e-07,1.8611261031533752e-06,9.059429626877038e-07,-5.037295636061455e-07
0.6875,height,8.057263683267441e-08,1.7212559443834158e-06,8.963169574679429e-07,-4.5580651661566814e-07
