pressure_ratio,chord,z_xx,z_xy,z_yy,z_zz
0.7125,width,0.0,0.0,0.0,0.0
0.7125,height,0.0,0.0,0.0,0.0
0.7,width,4.051009723353521e-08,7.207879095776965e-07,3.422750038157072e-07,-1.9184586870692886e-07
0.7,height,2.9830955463519815e-08,6.845398238128437e-07,3.2909243284664074e-07,-1.6906567347029097e-07
0.6875,width,1.3510162224285247e-07,1.90024026904178e-06,8.824748245676824e-07,-5.06132042366752e-07
0.6875,height,9.811268735628414e-08,1.7805087491527817e-06,8.64054825582678e-07,-4.4815442451396896e-07
