pressure_ratio,chord,z_xx,z_xy,z_yy,z_zz
0.7125,width,0.0,0.0,0.0,0.0
0.7125,height,0.0,0.0,0.0,0.0
0.7,width,4.040030039547045e-08,7.249497470783882e-07,3.4352702858454847e-07,-1.925104614382277e-07
0.7,height,2.9241372071188278e-08,6.649212411490028e-07,3.341451623411906e-07,-1.7410982594839247e-07
0.69375,width,1.0984952782756849e-07,1.2000570843752057e-06,5.22505829179383e-07,-3.18835824261931e-07
0.69375,height,7.976834081888543e-08,1.0820563329027471e-06,5.110551285817058e-07,-2.8470595278665246e-07
0.6875,width,1.2986018641513652e-07,1.882928732779664e-06,8.704976689492938e-07,-5.021007269798541e-07
0.6875,height,9.307963560331401e-08,1.7168061078286268e-06,8.575666935245709e-07,-4.5450033261488063e-07
