previous_pressure_ratio,pressure_ratio,chord,delta_unloading,chi,increment_closure,increment_mm,pressure_closure,pressure_mm,plastic_closure,plastic_mm,residual_closure,residual_mm,plastic_xx_mm,plastic_xy_mm,plastic_yy_mm,plastic_zz_mm,fixed_kernel_plastic_mm
0.7,0.69375,width,0.006249999999999978,0.02362320039210025,0.00014842414387029448,1.9977889764941636,0.00014764500245062603,1.9873017329854266,5.98542709023573e-07,0.008056384863457293,1.8059871066825923e-07,0.002430858645594769,0.0009366269921645394,0.006407967579377622,0.002412866767311611,-0.0017010764753964624,0.008038446633650628
0.7,0.69375,height,0.006249999999999978,0.0416912196446009,0.00026141927810520855,2.888683023062555,0.0002605701227787547,2.8792998567052397,5.349785146706232e-07,0.005911512587110387,3.1417681192907587e-07,0.0034716537718162883,0.0005588241084266407,0.004616147943763956,0.0019586595395585755,-0.0012221190046387866,0.005900433693935849
0.69375,0.6875,width,0.006249999999999978,0.023610448906611736,0.00014817053863112471,1.9943754499749389,0.00014756530566632282,1.9862290142687051,8.705389189535282e-07,0.011717453849114491,-2.653059543043466e-07,-0.0035710181449365055,0.0002698135851212137,0.009219945304162867,0.004696660674444022,-0.002468965714613655,0.01167802042483243
0.69375,0.6875,height,0.006249999999999978,0.04168611967519957,0.0002611156490865691,2.8853279224065886,0.0002605382479699964,2.8789476400684606,8.269809021471366e-07,0.009138138968725859,-2.4957978565067626e-07,-0.0027578566314399727,0.00014692174962399536,0.007028196531919732,0.003839603684320442,-0.0018765829971383,0.009113799715815643
