pressure_ratio,young_over_p0,strength_over_p0,initial_width_m,initial_height_m,width_closure,height_closure,width_closure_mm,height_closure_mm,crown_settlement_mm,invert_heave_mm
0.7125,40.0,0.2,13.46,11.05,0.006886649719660576,0.012033208150072734,92.69430522663136,132.96695005830372,60.187187773903354,72.77976228867203
0.7,40.0,0.2,13.46,11.05,0.007182630403202874,0.012555126180622909,96.67820522711068,138.73414429588314,63.25232113756543,75.48182319699272
0.69375,40.0,0.2,13.46,11.05,0.007331054547073168,0.012816545458728118,98.67599420360484,141.62282731894572,64.49947446128947,77.12335303018348
0.6875,40.0,0.2,13.46,11.05,0.0074792250857042926,0.013077661107814687,100.67036965357978,144.5081552413523,66.02830327008888,78.47985215879662
