pressure_ratio,chord,z_xx,z_xy,z_yy,z_zz
0.7125,width,0.0,0.0,0.0,0.0
0.7125,height,0.0,0.0,0.0,0.0
0.7,width,1.509887916331543e-09,3.316988924026421e-08,1.8289930280080266e-08,-9.38897126677361e-09
0.7,height,1.0106554054742229e-09,3.031101458822504e-08,1.7830402674200554e-08,-8.648886652019234e-09
0.69375,width,3.389413211367066e-09,7.494135103573759e-08,4.186326179831845e-08,-2.1209704580007975e-08
0.69375,height,2.2444370620993566e-09,6.845991318003047e-08,4.101143287826956e-08,-1.9622296634302608e-08
0.6875,width,8.591336151554404e-09,2.469033202923907e-07,1.381610509717743e-07,-6.990070004382564e-08
0.6875,height,5.591977348565099e-09,2.271605524122101e-07,1.3517530266227603e-07,-6.475241299616343e-08
