pressure_ratio,chord,z_xx,z_xy,z_yy,z_zz
0.7125,width,0.0,0.0,0.0,0.0
0.7125,height,0.0,0.0,0.0,0.0
0.7,width,1.4229706601196533e-09,3.453246193640671e-08,1.9082443143277854e-08,-9.770033991977533e-09
0.7,height,9.746065519227587e-10,3.1647197071065745e-08,1.8578281527609788e-08,-9.02982594972203e-09
0.69375,width,3.484993138422912e-09,7.59947501449411e-08,4.2631380588420575e-08,-2.166187449401081e-08
0.69375,height,2.357165178345849e-09,6.95394677903037e-08,4.175051919462787e-08,-2.0032027141672698e-08
0.6875,width,8.587855818960509e-09,2.428952521357231e-07,1.360574583157274e-07,-6.86882131393622e-08
0.6875,height,5.6390380308039485e-09,2.2332075317766267e-07,1.333081197757785e-07,-6.370825040112309e-08
